Artist,Title,Year,Sales,Streams,Rating
"Yes","Owner of a Lonely Heart",1984,10089,524,0.540
"James Blunt","1973",2007,10088,514,1.745
"Celine Dion","It's All Coming Back to Me Now",1996,10088,3746,1.024
"Leo Sayer","More Than I Can Say",1980,10079,5217,0.518
"The Simpsons","Do the Bartman",1991,10077,1024,0.600
"Lesley Gore","It's My Party",1963,10058,8349,0.513
"Vic Damone","You're Breakin' My Heart",1949,10054,6879,0.538
"Glenn Miller","That Old Black Magic",1943,10053,8,0.513
"Smokey Robinson","Tears of a Clown",1970,10045,9637,0.512
"Sugar Ray","Every Morning",1999,10028,4696,2.602
"The Calling","Wherever You Will Go",2002,10026,3262,1.135
"Stevie Wonder","You Are the Sunshine of My Life",1973,10019,11744,0.537
"Club Nouveau","Lean On Me",1987,10014,5164,0.515
"Janet Jackson","Again",1993,10012,6805,1.720
"Perry Como","Chi-Baba, Chi-Baba (My Bambino Go to Sleep)",1947,10011,6967,0.512
"Chad Kroeger","The Hero",2002,10009,3032,1.042
"Spice Girls","Spice Up Your Life",1997,9987,3054,1.514
"INXS","Suicide Blonde",1990,9986,368,1.178
"Donna Summer","MacArthur Park",1978,9985,6228,0.625
"KLF","3am Eternal",1991,9981,371,1.621
"Mr President","Coco Jamboo",1996,9977,2106,1.056
"Mariah Carey","Always Be My Baby",1996,9973,5488,1.656
"Kelly Clarkson","My Life Would Suck Without You",2009,9967,3806,0.512
"Guns n' Roses","November Rain",1992,9962,5736,0.545
"The Spin Doctors","Two Princes",1993,9953,4025,1.038
"Annie Lennox","No More 'I Love Yous'",1995,9952,1771,1.524
"Pitbull","I Know You Want Me (calle Ocho)",2009,993,4798,0.512
"Destiny's Child","Bootylicious",2001,9927,5032,0.750
"Perry Como","Some Enchanted Evening",1949,9924,7778,0.523
"Soul II Soul","Back to Life (However Do You Want Me)",1989,9908,4505,1.741
"Red Hot Chili Peppers","By the Way",2002,9904,23,2.587
"Ringo Starr","It Don't Come Easy",1971,9904,7955,0.523
"Beyonce","Baby Boy",2003,9895,4967,0.534
"The Three Degrees","When Will I See You Again?",1974,9886,7276,0.511
"Will Smith","Switch",2005,9882,4113,0.526
"Fairground Attraction","Perfect",1988,9878,512,0.591
"Heart","Alone",1987,9877,5311,0.512
"Cab Calloway & his Cotton Club Orchestra","Minnie the Moocher",1931,9876,8412,0.531
"Robbie Williams","Rock DJ",2000,9874,2,1.085
"TLC","Unpretty",1999,9845,5664,0.583
"Nat King Cole","Pretend",1953,9842,3992,0.591
"Akon & Snoop Dogg","I Wanna Love You",2007,9842,652,0.577
"Simply Red","Fairground",1995,9841,2,1.500
"Dean Martin","Everybody Loves Somebody",1964,984,11146,0.545
"En Vogue","Don't Let Go (Love)",1997,9832,3727,0.534
"Millie Small","My Boy Lollipop",1964,983,6068,0.522
"Chris Brown & T-Pain","Kiss Kiss",2007,9829,5278,1.084
"Bone Thugs-n-Harmony","Tha Crossroads",1996,9812,6429,0.519
"Ricky Martin","La Copa De La Vida",1998,9806,1089,0.514
"Martika","Toy Soldiers",1989,9803,4084,2.101
"Frank Sinatra","Learnin' the Blues",1955,9796,5106,0.510
"Creedence Clearwater Revival","Have You Ever Seen the Rain?",1971,9785,6886,0.667
"Steve Winwood","Roll With It",1988,9784,6986,1.033
"Anastacia","I'm Outta Love",2000,9779,511,0.514
"James Taylor","You've Got a Friend",1971,9766,12612,0.563
"Regina Belle & Peabo Bryson","A Whole New World (Aladdin's Theme)",1993,9764,743,1.725
"Jennifer Lopez","I'm Real",2001,9763,446,1.090
"The Carpenters","Yesterday Once More",1973,9749,5537,0.583
"The Rolling Stones","Ruby Tuesday",1967,9731,11451,0.519
"Toni Braxton","Breathe Again",1994,9727,3923,2.077
"Wham!","I'm Your Man",1985,9712,2916,0.513
"U2","The Sweetest Thing",1998,9705,179,1.000
"Kay Kyser","(I Got Spurs That) Jingle, Jangle, Jingle",1942,9679,7741,0.514
"John Paul Young","Love is in the Air",1978,9678,3487,0.513
"Supertramp","The Logical Song",1979,9659,4775,0.538
"En Vogue","All My Lovin' (You're Never Gonna Get It)",1992,965,6507,2.073
"T.I. & Rihanna","Live Your Life",2008,9647,5898,0.529
"Smokey Robinson","Being With You",1981,9636,6799,0.519
"Green Day","American Idiot",2004,9631,4006,2.100
"Chic","Good Times",1979,963,9271,0.518
"Billy Joel","My Life",1979,9621,7429,0.515
"Earth, Wind & Fire","Let's Groove",1981,962,6433,1.138
"Deep Blue Something","Breakfast At Tiffany's",1996,9615,3564,1.571
"The Ames Brothers","Rag Mop",1950,9605,8439,0.520
"A Taste of Honey","Boogie Oogie Oogie",1978,9601,8037,0.529
"Ricky Martin","(Un Dos Tres) Maria",1997,9596,1345,1.031
"Usher","U Got it Bad",2002,9594,644,0.517
"Boyz II Men","On Bended Knee",1994,9593,5794,1.674
"Cliff Richard","Summer Holiday",1963,9584,2,0.511
"Styx","Babe",1979,9584,6467,0.528
"Cyndi Lauper","True Colors",1986,9578,3818,1.067
"Vernon Dalhart","The Prisoner's Song",1925,9576,8019,0.653
"Michael Jackson","The Way You Make Me Feel",1988,9576,4326,0.515
"Nat King Cole","(I Love You) For Sentimental Reasons",1946,9572,79,0.545
"Phil Collins","One More Night",1985,9555,4934,0.520
"KC & The Sunshine Band","Get Down Tonight",1975,9553,7948,0.548
"Maxi Priest","Close to You",1990,9545,5016,1.875
"Sandra","(I'll Never Be) Maria Magdalena",1985,9531,2,0.512
"The Cowsills","Hair",1969,953,6876,0.512
"Pink","Stupid Girls",2006,9529,3082,1.190
"The Cars","Drive",1984,9524,3683,1.036
"Robbie Williams","Feel",2002,9522,712,0.625
"Georgie Fame","Ballad of Bonnie & Clyde",1968,952,4879,0.532
"Jimmy Dorsey","Maria Elena",1941,9518,612,0.550
"Snoop Dogg & Charlie Wilson & Justin Timberlake","Signs",2005,9517,2824,0.515
"The Seekers","Georgy Girl",1967,9516,8924,0.543
"Donovan","Atlantis",1969,9516,4137,0.516
"Beck","Loser",1994,9508,5787,1.105
"Whitney Houston","I Have Nothing",1993,9507,4698,1.622
"Captain & Tennille","Do That to Me One More Time",1980,9507,8221,0.538
"Stevie B","Because I Love You (The Postman Song)",1991,9504,5191,2.864
"Simple Minds","Alive & Kicking",1985,9489,3801,0.521
"The Carpenters","We've Only Just Begun",1970,9488,11151,0.510
"Barry Manilow","Mandy",1975,9488,7031,0.540
"Jon Secada","Just Another Day",1992,9486,4287,1.210
"Minnie Riperton","Loving You",1975,9484,8107,0.533
"Spiller & Sophie Ellis-Bextor","Groovejet (If This Ain't Love)",2000,9472,711,1.028
"Pink","Don't Let Me Get Me",2002,9471,4406,0.529
"The Rembrandts","I'll Be There For You",1995,9456,2566,1.400
"Metallica","Until it Sleeps",1996,9439,2574,0.591
"Alanis Morissette","Thank U",1998,9439,2349,1.523
"Jay Sean & Lil' Wayne","Down",2009,9431,7022,0.524
"The Shadows","Apache",1960,9426,705,0.519
"Maureen McGovern","The Morning After",1973,9425,8255,0.523
"Tex Williams & The Western Caravan","Smoke! Smoke! Smoke! (That Cigarette)",1947,9422,8924,0.550
"Frank Chacksfield","Terry's Theme From 'Limelight'",1953,942,2654,0.529
"Britney Spears","Piece Of Me",2008,9416,4517,0.583
"PM Dawn","Set Adrift On a Memory of Bliss",1991,9414,5096,1.585
"Santana & Michelle Branch","The Game of Love",2002,9413,3198,2.541
"Usher","You make Me Wanna",1997,941,5408,0.526
"Nicki French","Total Eclipse of the Heart",1995,9409,4437,1.559
"Bob Sinclar, Goleo VI & Gary 'Nesta' Pine","Love Generation",2005,9407,611,0.559
"My Chemical Romance","Welcome to the Black Parade",2006,9369,4849,1.700
"Ne-Yo","Closer",2008,9368,4317,0.523
"Spice Girls","Viva Forever",1998,9361,714,1.035
"Fanny Brice","My Man",1922,9359,7913,0.563
"Michael Jackson","Dirty Diana",1988,935,3294,0.513
"Vaughn Monroe","Let it Snow! Let it Snow! Let it Snow!",1946,935,799,0.516
"Oasis","Don't Look Back in Anger",1996,9341,2347,1.050
"Paul Young","Every Time You Go Away",1985,9335,5317,0.524
"Ben Bernie","Sweet Georgia Brown",1925,9333,7893,0.559
"Ciara & Missy 'Misdemeanor' Elliot","1-2 Step",2005,9332,4645,1.022
"Elton John","Your Song",1971,9309,9784,0.513
"Cher","If I Could Turn Back Time",1989,9309,5218,1.615
"Madonna","Material Girl",1985,9309,5391,0.526
"Survivor","Burning Heart",1986,9305,3943,0.517
"Britney Spears","(You Drive Me) Crazy",1999,9303,2239,0.511
"Rod Stewart","Rhythm of My Heart",1991,9301,2352,1.217
"Bryan Adams","Can't Stop This Thing We Started",1991,93,4605,1.079
"Freddy Martin","Symphony",1946,9296,6762,0.519
"Michael Jackson","They Don't Care About Us",1996,9294,1047,0.519
"Charlene","I've Never Been to Me",1982,9292,3452,0.517
"Gwen Stefani","Wind It Up",2006,9283,2209,2.026
"Nelly Furtado","I'm Like a Bird",2001,9282,2929,1.677
"Shaggy","Oh Carolina",1993,9279,1017,1.118
"The Beatles","Please Please Me",1964,9278,6569,0.700
"Tommy Dorsey & Frank Sinatra","There Are Such Things",1943,9277,7364,0.516
"Justin Timberlake","Cry Me a River",2003,9264,4894,0.512
"Vanessa Williams","Colors of the Wind",1995,9253,7121,0.625
"Marvin Gaye","What's Going On?",1971,9239,13497,0.548
"KLF","Justified & Ancient",1992,9234,2315,0.556
"Elton John","Bennie & the Jets",1974,9231,9002,0.542
"The Jackson 5","ABC",1970,9212,9962,1.101
"The Four Seasons","Sherry",1962,9193,7056,0.513
"Dinah Shore","I'll Walk Alone",1944,9189,7612,0.518
"Nat King Cole","The Christmas Song (Chestnuts Roasting On An Open Fire)",1946,9179,8429,0.010
"Aerosmith","Cryin'",1993,9176,4472,0.519
"Middle of The Road","Chirpy, Chirpy, Cheep, Cheep",1971,9175,2,0.010
"No Doubt","It's My Life",2003,916,3673,0.534
"The Doors","Touch Me",1969,9156,985,0.510
"Mariah Carey","Emotions",1991,9154,5127,2.726
"Evanescence","Call me when you're sober",2006,9148,4832,1.084
"Earth, Wind & Fire","Boogie Wonderland",1979,9148,5866,0.513
"Paul Simon","50 Ways to Leave Your Lover",1976,9136,9253,0.513
"Wings","My Love",1973,9134,7247,0.577
"Rod Stewart","You're in My Heart (The Final Acclaim)",1977,9129,4893,0.540
"Notorious BIG & P Diddy","Mo Money Mo Problems",1997,9123,5279,1.057
"Bee Gees","How Do You Mend a Broken Heart",1971,9121,9134,0.700
"Jerry Murad's Harmonicats","Peg o' My Heart",1947,9118,8571,0.591
"Michael Bolton","How am I Supposed to Live Without You?",1990,9111,373,1.806
"Sting","If I Ever Lose My Faith in You",1993,9111,3227,1.553
"Billy Joel","We Didn't Start the Fire",1989,9105,6358,2.032
"Madonna","You'll See",1995,9084,3226,1.510
"Three Dog Night","Mama Told Me Not to Come",1970,907,9946,0.515
"Whitney Houston","All the Man That I Need",1991,9066,4583,1.894
"Mariah Carey","Someday",1991,9065,5844,2.093
"Lulu","To Sir, With Love",1967,906,14572,0.534
"Jimmy Dorsey","Green Eyes",1941,9045,7244,0.545
"Toni Braxton","You're Makin' Me High",1996,904,4093,2.552
"Bee Gees","I Started a Joke",1969,9038,4257,0.611
"Sisqo","Thong Song",2000,9032,3571,0.611
"Simon & Garfunkel","The Boxer",1969,9015,7212,0.519
"Four Aces","Mister Sandman",1955,9012,3011,0.550
"Supertramp","It's Raining Again",1982,9006,1623,0.530
"George Michael","Father Figure",1988,9004,5378,0.534
"Oasis","D'You Know What I Mean?",1997,8998,702,2.013
"Enrique Iglesias","Bailamos",1999,8997,4196,0.537
"N-Trance & Ricardo Da Force","Stayin' Alive",1995,8978,1072,1.158
"Staff Sergeant Barry Sadler","Ballad of the Green Berets",1966,8974,127,0.010
"Samantha Sang","Emotion",1978,8973,509,0.591
"Barbra Streisand & Donna Summer","No More Tears (Enough is Enough)",1979,8972,6268,0.516
"Avril Lavigne","I'm With You",2003,8972,3948,1.290
"Counting Crows","Mr Jones",1994,8956,412,1.029
"The Stylistics","You Make Me Feel Brand New",1974,8532,7374,0.700
"Harry Richman","Puttin' on the Ritz",1930,8532,7179,0.548
"Level 42","Lessons in Love",1986,8526,1092,0.511
"Middle of The Road","Sacramento (A Wonderful Town)",1972,8524,2,0.522
"Quarterflash","Harden My Heart",1982,8518,5371,0.514
"Anne Murray","You Needed Me",1978,8512,6938,0.529
"Jefferson Starship","Sara",1986,851,3697,0.517
"Eddy Grant","I Don't Wanna Dance",1983,8503,519,0.513
"Whitney Houston","I'm Every Woman",1993,8501,4234,1.350
"Ashanti","Foolish",2002,85,4659,1.000
"Bon Jovi","This Ain't a Love Song",1995,8499,1609,1.577
"Robin S","Show Me Love",1993,8497,4696,1.584
"George Michael","Freedom",1990,8496,3657,0.700
"Glenn Miller","A String of Pearls",1942,8477,798,0.523
"Los Indios Tabajaras","Maria Elena",1963,8474,2957,0.512
"Guns n' Roses","You Could Be Mine",1991,8467,2522,1.417
"The Escape Club","Wild Wild West",1988,8464,5544,1.178
"N Sync","Girlfriend",2002,8459,296,1.025
"The Surfaris","Wipe Out",1963,8454,7541,0.522
"The Human League","Human",1986,8448,5022,0.548
"Dionne Warwick","Heartbreaker",1982,8447,2337,0.511
"The Hollies","Bus Stop",1966,8445,5447,0.643
"Toni Braxton","He Wasn't Man Enough",2000,8441,3075,2.011
"Middle of The Road","Soley, Soley",1971,8437,2,0.583
"Al Trace","You Call Everybody Darlin'",1948,8437,7345,0.515
"Natasha Bedingfield","Unwritten",2005,8431,5127,0.521
"Fall Out Boy","This Ain't A Scene, It's An Arms Race",2007,8418,3996,1.066
"Chris Norman & Suzi Quatro","Stumblin' In",1979,8412,4429,0.571
"Tony Rich Project","Nobody Knows",1996,8395,3894,1.581
"Perry Como","Papa Loves Mambo",1954,8392,498,0.512
"2Pac","Changes",1999,8387,1946,0.531
"Frankie Laine","Jezebel",1951,8374,5652,0.511
"Nelly Furtado","Maneater",2006,8372,1878,0.559
"Captain Hollywood Project","More & More",1993,8371,2117,1.084
"Madonna","Erotica",1992,8367,2299,2.028
"Margaret Whiting","A Tree in the Meadow",1948,8365,728,0.513
"Creedence Clearwater Revival","Green River",1969,8362,9091,0.545
"The Lemon Pipers","Green Tambourine",1968,8357,8743,0.510
"Frank Chacksfield","Ebb Tide",1953,8352,3783,0.526
"Michael Jackson","Man in the Mirror",1988,8349,5648,0.536
"Creedence Clearwater Revival","Down On the Corner",1969,8349,702,0.511
"Patti Smith & Don Henley","Sometimes Love Just Ain't Enough",1992,8347,4637,1.740
"Isham Jones","It Had to Be You",1924,8319,6984,0.550
"The White Stripes","7 Nation Army",2003,8315,4113,0.511
"The Lighthouse Family","High",1998,8312,2,0.523
"Neneh Cherry","Buffalo Stance",1989,8309,4931,1.263
"Ce Ce Peniston","Finally",1992,8307,4342,2.063
"KC & The Sunshine Band","I'm Your Boogie Man",1977,8307,646,0.583
"The Temptations","Just My Imagination (Running Away With Me)",1971,8303,12425,0.511
"Suzanne Vega","Luka",1987,829,5047,0.529
"Lou Reed","Walk On the Wild Side",1973,829,763,0.511
"Johnny Mercer","Personality",1946,8288,8389,0.513
"The Black Eyed Peas","Let's Get it Started",2004,8286,4313,1.039
"Count Basie","Open The Door, Richard!",1947,8284,7815,0.512
"Electric Light Orchestra","Livin' Thing",1976,828,2922,0.532
"Ted Weems","Heartaches",1947,8274,7779,0.534
"Bon Jovi","Bed of Roses",1993,8271,326,1.596
"Laura Branigan","Gloria",1982,8269,4668,0.540
"No Doubt","Hey Baby",2002,8269,3134,1.179
"Gregory Abbott","Shake You Down",1987,8251,5712,0.550
"Doris Day","It's Magic",1948,825,581,0.532
"Patti Page","All My Love",1950,8242,5922,0.538
"New Kids On The Block","You Got it (The Right Stuff)",1989,8242,3667,0.700
"Tears For Fears","Sowing the Seeds of Love",1989,8222,3987,1.611
"Danyel Gerard","Butterfly",1971,8215,513,0.010
"Elvis Presley","I Need Your Love Tonight",1959,8203,2503,0.559
"Buzz Clifford","Baby Sittin' Boogie",1961,8194,2921,0.524
"JoJo","Leave (Get Out)",2004,8191,4008,0.571
"Elton John","Rocket Man",1972,8189,723,0.537
"Linkin Park","Somewhere I Belong",2003,8181,1115,1.891
"Justin Timberlake","Like I Love You",2002,8174,3232,0.700
"Chesney Hawkes","The One & Only",1991,8174,1621,1.036
"The Pet Shop Boys","Domino Dancing",1988,8169,1262,1.265
"Mary J Blige","Be Without You",2006,8167,5534,0.550
"Freddy Martin","To Each His Own",1946,8166,5653,0.514
"Merrilee Rush","Angel of the Morning",1968,8162,5783,0.527
"Ella Fitzgerald & The Ink Spots","Into Each Life Some Rain Must Fall",1944,8161,4607,0.518
"Gwen Stefani","Rich Girl",2005,8154,3566,0.517
"Tag Team","Whoomp! (There it Is)",1993,8154,6694,0.553
"Diana Ross","Theme From 'Mahogany' (Do You Know Where You're Going To)",1976,8151,7312,0.520
"Third Eye Blind","Semi-Charmed Life",1997,8148,5434,1.836
"Sammy Kaye","Harbour Lights",1950,8136,8433,0.548
"Fine Young Cannibals","Good Thing",1989,8124,4785,1.183
"Wheatus","Teenage Dirtbag",2001,8124,721,0.512
"Bing Crosby & Carmen Cavallaro","I Can't Begin to Tell You",1945,8116,7442,0.516
"Wilson Phillips","Release Me",1990,8105,4519,1.183
"Timmy Thomas","Why Can't We Live Together?",1973,8105,5645,0.536
"The Floaters","Float On",1977,8102,4798,0.536
"Prince","Cream",1991,8099,5111,1.869
"Elton John","Believe",1995,8094,2131,1.056
"Gene Austin","My Blue Heaven",1927,8093,6762,0.567
"Limp Bizkit","Behind Blue Eyes",2004,8087,178,0.563
"Penny McLean","Lady Bump",1976,8086,521,0.517
"Christina Aguilera & Redman","Dirrty",2002,8082,1236,0.563
"Janet Jackson","Love Will Never Do (Without You)",1991,8075,495,2.014
"Frankie Laine","That's My Desire",1947,807,4938,0.511
"Blur","Country House",1995,8065,1292,1.344
"Hugo Montenegro","The Good the Bad & the Ugly",1968,8064,6447,0.521
"Gloria Estefan","Coming Out of the Dark",1991,8064,425,1.788
"Beyonce","Sweet Dreams",2009,8058,3627,0.511
"Chicago","Look Away",1989,8051,6575,1.192
"Salt-N-Pepa & En Vogue","Whatta Man",1994,8048,547,1.034
"Al Jolson","California, Here I Come",1924,8039,6739,0.542
"The Police","Roxanne",1979,8037,6427,0.512
"Cher","Bang Bang (My Baby Shot Me Down)",1966,8036,5543,0.522
"Ricky Martin & Christina Aguilera","Nobody Wants to Be Lonely",2001,8036,2146,0.553
"Britney Spears","3",2009,8034,4179,0.526
"The McCoys","Hang On Sloopy",1965,8034,8566,0.515
"Christopher Cross","Sailing",1980,8018,7367,0.577
"Benny Goodman","Jersey Bounce",1942,8016,6203,0.527
"P Diddy & Jimmy Page","Come With Me",1998,8014,2171,0.522
"George Harrison","All Those Years Ago",1981,8006,4655,0.523
"The Black Eyed Peas","Don't Lie",2005,7998,2694,1.899
"Tone Loc","Wild Thing",1989,7992,6075,1.083
"Montell Jordan","This is How We Do It",1995,7984,5394,1.120
"Phil Collins","I Wish it Would Rain Down",1990,7979,207,1.268
"Atlantic Starr","Always",1987,7978,4515,1.144
"Corona","Rhythm of the Night",1994,7953,2151,0.556
"Sean Paul","We Be Burnin'",2005,7949,3777,0.571
"Eric Carmen","All By Myself",1976,7942,5563,0.563
"Frank Sinatra","Love & Marriage",1955,7937,4089,0.517
"Silk","Freak Me",1993,7937,543,1.571
"Andrea True Connection","More, More, More",1976,7914,5859,0.526
"US3","Cantaloop (Flip Fantasia)",1993,7909,4467,1.132
"Eminem","When I'm Gone",2006,7907,2403,0.643
"The Beatles","Love Me Do",1964,7907,8178,0.567
"Original Dixieland Jazz Band","Tiger Rag",1918,7897,5224,0.529
"Baby Bash","Suga Suga",2004,7892,356,0.528
"Sylvers","Boogie Fever",1976,7882,7046,0.515
"Franz Ferdinand","Take Me Out",2004,7881,5264,1.522
"Daft Punk","One More Time",2000,788,1759,1.358
"Adam Clayton & Larry Mullen","Theme From 'Mission Impossible'",1996,7879,2626,1.272
"Samantha Mumba","Gotta Tell You",2000,7877,2506,1.053
"Underworld","Born Slippy",1996,7875,1544,1.500
"Nelly, P Diddy & Murphy Lee","Shake Ya Tailfeather",2003,7869,4737,0.513
"Elton John","Little Jeannie",1980,7867,5095,0.556
"Prince","1999",1983,7842,5973,0.511
"Heavy D & The Boyz","Now That We Found Love",1991,7836,2879,2.500
"Donovan","Hurdy Gurdy Man",1968,7835,5599,0.529
"Huey Lewis & The News","Stuck With You",1986,7831,3836,0.512
"Shakira","La Tortura",2005,783,3242,1.047
"Mariah Carey","Touch My Body",2008,7828,3994,0.533
"Elton John","Sacrifice",1990,7821,756,1.042
"Cheap Trick","The Flame",1988,7818,4334,1.037
"Richard Harris","MacArthur Park",1968,7817,6431,0.625
"Les Baxter & his Orchestra","Unchained Melody",1955,7816,565,0.528
"Nina Sky","Move Ya Body",2004,7816,3861,0.550
"Mariah Carey","Don't Forget About Us",2006,7815,4629,1.129
"Brandy","Have You Ever?",1999,7807,4218,1.037
"Debbie Gibson","Lost in Your Eyes",1989,7807,4759,2.063
"Glenn Miller","When You Wish Upon a Star",1940,7802,5312,0.518
"The Fray","Over My Head (Cable Car)",2006,78,4912,1.598
"Tasmin Archer","Sleeping Satellite",1992,7799,1243,1.077
"Tracy Chapman","Give Me One Reason",1996,7799,4733,0.510
"Billy Paul","Me & Mrs Jones",1973,7794,735,0.550
"Bob Marley","No Woman, No Cry",1975,7794,6434,0.522
"Elton John","Island Girl",1975,779,685,0.559
"Frankie Carle","Rumors Are Flying",1946,7783,7837,0.515
"Lil' Wayne","Lollipop",2008,7765,605,0.514
"Frank Sinatra","Three Coins in the Fountain",1954,7763,3093,0.513
"Smash Mouth","All Star",1999,7762,4996,1.065
"Faith Hill","Breathe",2000,7754,6573,1.065
"Usher","U Remind Me",2001,7751,4318,0.643
"Bobby Brown","My Perogative",1988,7733,515,0.833
"Guns n' Roses","Paradise City",1989,773,4534,1.157
"Sheryl Crow","Strong Enough",1995,7726,3582,1.591
"Amerie","1 Thing",2005,7722,4165,2.014
"Eddy Howard","To Each His Own",1946,7712,6383,0.518
"Hall & Oates","Kiss On My List",1981,7708,6575,1.082
"Aerosmith","Jaded",2001,7701,2267,3.020
"Tom Cochrane","Life is a Highway",1992,77,4333,1.196
"Five for Fighting","Superman (It's Not Easy)",2002,7699,4502,0.516
"Elton John","Lucy in the Sky With Diamonds",1974,7694,656,0.520
"Steppenwolf","Magic Carpet Ride",1968,7688,8683,0.512
"Gabrielle","Dreams",1993,7687,1563,1.102
"The Corrs","Breathless",2000,7684,1042,2.011
"Green Day","Wake Me Up When September Ends",2005,7682,491,0.529
"Eiffel 65","Move Your Body",2000,768,61,0.519
"Roxette","Fading Like a Flower (Every Time You Leave)",1991,7676,2781,1.590
"3T","Anything",1996,7676,2873,0.513
"Bette Midler","From a Distance",1990,7673,5165,2.053
"Matchbox Twenty","Bent",2000,7666,5423,0.548
"Chuck Berry","Maybellene",1955,7656,8679,0.511
"Elvis Presley","Burning Love",1972,7654,6819,0.542
"The Zombies","Time of the Season",1969,7646,9371,0.511
"Kenny Ball & his Jazzmen","Midnight in Moscow",1962,7641,3381,0.556
"Tee Set","Ma belle amie",1970,7638,4711,0.010
"Gary Wright","Dream Weaver",1976,7634,6125,0.529
"Snap","Ooops Up",1990,7622,1279,0.532
"Skeeter Davis","The End of the World",1963,7619,6386,0.545
"Celine Dion","All By Myself",1997,7615,3601,1.055
"Glenn Miller","Elmer's Tune",1941,7607,5931,0.519
"Celine Dion","A New Day Has Come",2002,7606,1806,0.643
"The Carpenters","Superstar",1971,7603,8533,0.514
"Merril Bainbridge","Mouth",1996,76,3148,0.577
"Alanis Morissette","You Learn",1996,7591,3736,1.188
"Lou Rawls","You'll Never Find Another Love Like Mine",1976,7587,5899,0.548
"Rudy Vallee & his Connecticut Yankees","As Time Goes By",1943,7583,711,0.522
"Santana","Black Magic Woman",1970,758,7746,0.550
"Mariah Carey","My All",1998,7577,4543,0.533
"Albert Hammond","It Never Rains in Southern California",1972,7569,5578,0.512
"Sammy Kaye","Chickery Chick",1945,756,6896,0.514
"Ella Fitzgerald & The Ink Spots","I'm Making Believe",1944,7559,7355,0.531
"Jet","Are You Gonna Be My Girl?",2003,7558,4137,2.125
"Linda Ronstadt & Aaron Neville","Don't Know Much",1989,7549,4029,1.147
"Meco","Star Wars Theme - Cantina Band",1977,7549,6373,0.556
"Ashlee Simpson","Pieces of Me",2004,7542,3805,0.571
"Paul McCartney & Michael Jackson","The Girl is Mine",1982,7534,4457,0.526
"Celine Dion & Peabo Bryson","Beauty & the Beast",1992,7525,6817,0.556
"Four Aces","Stranger in Paradise",1955,7524,3768,0.529
"Janet Jackson","If",1993,7524,4329,1.344
"Glenn Medeiros & Bobby Brown","She Ain't Worth It",1990,7516,5114,1.157
"Tina Turner","The Best",1989,75,2146,1.091
"Stacie Orrico","Stuck",2003,7496,1038,2.200
"Simply Red","Holding Back the Years",1986,7493,3845,0.537
"Aerosmith","Livin' On the Edge",1993,7492,321,2.048
"Marvin Gaye","Mercy Mercy Me (The Ecology)",1971,7484,11033,0.518
"Pearl Jam","Last Kiss",1999,7476,4132,0.514
"George Benson","Give Me the Night",1980,7466,4568,0.517
"Red Hot Chili Peppers","Scar Tissue",1999,746,3466,1.896
"The Eurythmics","There Must Be an Angel (Playing With My Heart)",1985,7452,746,0.643
"Tina Turner","I Don't Wanna Fight",1993,7447,2698,1.103
"Def Leppard","Let's Get Rocked",1992,7444,2488,1.212
"Gloria Estefan","I Don't Wanna Lose You",1989,7443,5358,2.131
"Kelly Clarkson","A Moment Like This",2002,7433,4806,0.542
"The Pussycat Dolls","I Hate This Part",2008,7433,4087,0.536
"Paula Abdul","Forever Your Girl",1989,7432,505,1.167
"Britney Spears","Circus",2009,7432,3615,1.500
"Roxette","Dangerous",1990,7431,362,1.667
"Janet Jackson","Black Cat",1990,7427,4344,1.347
"Air Supply","All Out of Love",1980,7426,7065,0.543
"Will To Power","Baby, I Love Your Way",1989,7421,4498,1.327
"The Black Eyed Peas","Pump It",2006,7414,2546,1.130
"MC Hammer","Have You Seen Her",1990,7406,3078,1.599
"Woody Herman","Blues in the Night",1942,7405,6907,0.514
"Frankie Valli","My Eyes Adored You",1975,7404,7324,0.524
"Benny Goodman","Taking A Chance On Love",1943,7399,5653,0.523
"Sammy Kaye","The Old Lamplighter",1946,7397,7409,0.522
"Badfinger","Day After Day",1972,7394,6804,0.528
"Jeannie C Riley","Harper Valley PTA",1968,7378,9449,0.010
"Red Hot Chili Peppers","Snow, Hey Oh",2006,7375,2675,1.071
"Depeche Mode","I Feel You",1993,7373,1989,1.089
"Alanis Morissette","You Oughta Know",1995,7366,4042,1.189
"Vangelis","Chariots of Fire",1982,7356,5746,0.537
"Phil Collins","You'll Be in My Heart",1999,7345,4265,1.042
"Dr Alban","It's My Life",1992,7344,511,0.511
"P Diddy, Usher & Loon","I Need a Girl (Part 1)",2002,7338,3148,0.522
"Elton John","Don't Let the Sun Go Down On Me",1974,7338,7493,0.643
"Fleetwood Mac","Don't Stop",1977,7337,5253,0.517
"Madonna","You Must Love Me",1996,7335,5016,0.700
"Jamiroquai","Virtual Insanity",1996,7334,2325,2.658
"Maria McKee","Show Me Heaven",1990,7332,2,0.527
"Mario Lanza","Because You're Mine",1952,7331,2811,0.514
"Kool & The Gang","Get Down On It",1982,733,3956,0.520
"Richard Marx","Hazard",1992,732,2675,0.515
"Faith Hill","There You'll Be",2001,7319,2015,0.518
"Bobby Brown","On Our Own (Theme from 'Ghostbusters II')",1989,7318,4604,1.550
"Frank Sinatra","Mam'selle",1947,7315,3534,0.533
"U2","Stuck in a Moment You Can't Get Out Of",2001,7288,123,0.526
